websites,store,attribute_set,type,sku,name,categories_text,deal_start_time,deal_stop_time,price,special_price,cost,weight,price_unit,price_unit_origin,market_price,status,tax_class_id,visibility,landing_page,product_unit,tilbud,netpris,calculated_unit,weight_unit,has_deal,special_from_date,description,short_description,meta_keyword,qty,product_name,meta_title,meta_description,aktuelt,retter,pant_sku,alphabetAtribute
base,admin,Default,simple,7028156630219,Möllers Tran med Citrussmag,Personlig Pleje>Helse;Produkter>PersonligPleje,,,94.95,,,250,379.8,,,Disabled,DK25,"Catalog, Search",AXELLUS A/S,Liter,No,No,ml,Liter,,,"Tran - naturens egen kilde til Omega-3 fedtsyrer og vitaminerne A og D. Omega-3 fedtsyrer har en stor næringsmæssig værdi, og er en vigtig bestanddel i alle kroppens celler. E-vitamin er en antioxidant, som beskytter cellerne mod iltning. Bliver fremstillet af kvalitetslever fra torks, fra 100% norsk arktisk fisk.

Ingredienser:
Torskelevertran, aromastoffer, dl-a-tocopherylacetat (vitamin E), retinylpalmitat (vitamin A), cholecalciferol (vitamin D), antioxidant (tocopherolrig ekstrakt).",PERSONLIG PLEJE & PARFUME Helse & Vitamin Kosttilskud,"möllers, møllers, tran, citrussmag, kosttilskud, omega-3",9999,Möllers Tran med Citrussmag,,,,,,
base,admin,Default,simple,7046264112809,Benadryl Allergi Kapsler,Personlig Pleje>Apotek;Produkter>PersonligPleje,,,36.95,,,0,36.95,,,Disabled,DK25,"Catalog, Search",MCNEIL,Kg,No,No,Kg,Kg,,,"Benadryl anvendes ved overfølsomhedsreaktioner, især nældefeber og høfeber.

Virker ved at hæmme virkningen af histamin, som medvirker ved udviklingen af den allergiske reaktion.
Begyndende virkning ses inden for ½ - 1 time og varer 8-12 timer.",PERSONLIG PLEJE & PARFUME Apoteket Diverse Apotek,"benadryl, allergi, kapsler, høfeber, histamin, håndkøb",9999,Benadryl Allergi Kapsler,,,,,,
base,admin,Default,simple,7046265411697,Strepsils Honning & Citron Halstabletter,Personlig Pleje>Apotek;Produkter>PersonligPleje,,,54.95,,,0,54.95,,,Disabled,DK25,"Catalog, Search",MOVIANTO  (RECK,Kg,No,No,Kg,Kg,,,Strepsils Honning & Citron Halstabletter,PERSONLIG PLEJE & PARFUME Apoteket Halsprodukter,"strepsils, honning, citron, halstabletter, bolsjer, sugetabletter",9999,Strepsils Honning & Citron Halstabletter,,,,,,
base,admin,Default,simple,7046260165021,Nicorette Nikotin Tyggegummi,Personlig Pleje>Apotek;Produkter>PersonligPleje,,,49.95,,,0,49.95,,,Disabled,DK25,"Catalog, Search",MCNEIL,Kg,No,No,Kg,Kg,,,Nicorette Nikotin Tyggegummi,PERSONLIG PLEJE & PARFUME Apoteket Rygeafvænning,"nicorette, tyggegummi, rygestop, nikotin",9999,Nicorette Nikotin Tyggegummi,,,,,,
base,admin,Default,simple,7046264790496,Alminox DAK Tyggetabletter,Personlig Pleje>Apotek;Produkter>PersonligPleje,,,28,,,0,28,,,Disabled,DK25,"Catalog, Search",AXELLUS A/S,Kg,No,No,Kg,Kg,,,"Alminox DAK anvendes til behandling af mavekatar, spiserørskatar og sure opstød.

Virker neutraliserende på mavesyre. Virkningen indtræder med det samme og varer ca. 1 time.

Bemærk: Tabletterne skal tygges grundigt.",PERSONLIG PLEJE & PARFUME Apoteket Diverse Apotek,"alminox, DAK, tyggetabletter, halsbrænd, sure, opstød, håndkøb",9999,Alminox DAK Tyggetabletter,,,,,,
base,admin,Default,simple,7046260182677,Bromhexin DAK Hostesaft,Personlig Pleje>Apotek;Produkter>PersonligPleje,,,28.95,,,150,193,,,Disabled,DK25,"Catalog, Search",AXELLUS A/S,Kg,No,No,Gram,Kg,,,"Bromhexin DAK anvendes ved hoste med opspyt samt til behandling af Sjögrens syndrom (sygdom med tørre slimhinder i øjne og mund).

Virker slimløsnende ved at gøre sejt slim i luftvejene mere tyndtflydende og derved lettere at hoste op.
Virker desuden ved at stimulere fugtdannelsen i øjets slimhinder.",PERSONLIG PLEJE & PARFUME Apoteket Halsprodukter,"bromhexin, DAK, hostesaft, håndkøb, hoste, medicin, hostemiddel",9999,Bromhexin DAK Hostesaft,,,,,,
base,admin,Default,simple,7046260045736,Kodimagnyl Smertestillende,Personlig Pleje>Apotek;Produkter>PersonligPleje,,,15.95,,,0,15.95,,,Disabled,DK25,"Catalog, Search",AXELLUS A/S,Kg,No,No,Kg,Kg,,,"Kodimagnyl tablet, ikke stoppende",PERSONLIG PLEJE & PARFUME Apoteket Smertestillende,"kodimagnyl, smertestillende, håndkøb, medicin, piller",9999,Kodimagnyl Smertestillende,,,,,,
base,admin,Default,simple,7046260058132,Panodil Smertestillende,Personlig Pleje>Apotek;Produkter>PersonligPleje,,,10.95,,,0,10.95,,,Disabled,DK25,"Catalog, Search",GLAXOSMITHKLINE,Kg,No,No,Kg,Kg,,,"Panodil er et svagt smertestillende middel.

Panodil anvendes ved svage smerter. Midlet virker desuden febernedsættende.
Depottabletter og tabletter med modificeret udløsning er ikke egnede til behandling af akutte smerter, men anvendes ved kroniske smerter.",PERSONLIG PLEJE & PARFUME Apoteket Smertestillende,"panodil, smertestillende, håndkøb, medicin, piller",9999,Panodil Smertestillende,,,,,,
base,admin,Default,simple,7046260057753,Panodil Zapp Smertestillende,Personlig Pleje>Apotek;Produkter>PersonligPleje,,,13.95,,,0,13.95,,,Disabled,DK25,"Catalog, Search",GLAXOSMITHKLINE,Kg,No,No,Kg,Kg,,,"Panodil Zapp anvendes ved svage smerter. Midlet virker desuden febernedsættende.

Panodil Zapp er tilsat natriumhydrogencarbonat, der gør, at paracetamol optages lidt hurtigere i kroppen i forhold til almindelige Panodil tabletter.",PERSONLIG PLEJE & PARFUME Apoteket Smertestillende,"panodil, zapp, smertestillende, håndkøb, medicin",9999,Panodil Zapp Smertestillende,,,,,,
base,admin,Default,simple,7046265506249,Panodil Junior Smertestillende,Personlig Pleje>Apotek;Produkter>PersonligPleje,,,25.95,,,60,432.5,,,Disabled,DK25,"Catalog, Search",GLAXOSMITHKLINE,Kg,No,No,Gram,Kg,,,Panodil Junior Smertestillende,PERSONLIG PLEJE & PARFUME Apoteket Smertestillende,"panodil, junior, smertestillende, håndkøb, piller, børn",9999,Panodil Junior Smertestillende,,,,,,
base,admin,Default,simple,7046264369722,Marzine Tabletter mod Køresyre,Personlig Pleje>Apotek;Produkter>PersonligPleje,,,44.95,,,0,44.95,,,Disabled,DK25,"Catalog, Search",MEDA AS - MEDIC,Kg,No,No,Kg,Kg,,,Marzine Tabletter mod Køresyge,PERSONLIG PLEJE & PARFUME Apoteket Diverse Apotek,"marzine, tabletter, køresyge, håndkøb, piller, kvalmestillende, kvalme, transportsyge STAVEFEJL KØRESYRE = KØRESYGE",9999,Marzine Tabletter mod Køresyre,,,,,,
